RTE ne pourra être tenu responsable de l'usage qui pourrait être fait des données mises à disposition, ni en cas de prévisions qui se révèleraient imprécises
DATE;FREQUENCE_RETENUE(EN Hz);
01/03/2016 01:18:50;50,0061;
01/03/2016 01:19:00;50,0136;
01/03/2016 01:19:10;50,0137;
01/03/2016 01:19:20;50,0044;
01/03/2016 01:19:30;49,9997;
01/03/2016 01:19:40;50,0023;
01/03/2016 01:19:50;50,011;
01/03/2016 01:20:00;50,0188;
01/03/2016 01:20:10;50,015;
01/03/2016 01:20:20;50,0104;
01/03/2016 01:20:30;50,0136;
01/03/2016 01:20:40;50,016;
01/03/2016 01:20:50;50,0056;
01/03/2016 01:21:00;49,9991;
01/03/2016 01:21:10;50,0054;
01/03/2016 01:21:20;49,9968;
01/03/2016 01:21:30;49,9981;
01/03/2016 01:21:40;50,004;
01/03/2016 01:21:50;50,0006;
01/03/2016 01:22:00;49,9909;
01/03/2016 01:22:10;49,9913;
01/03/2016 01:22:20;49,9958;
01/03/2016 01:22:30;50,0023;
01/03/2016 01:22:40;50,001;
01/03/2016 01:22:50;49,9964;
01/03/2016 01:23:00;49,9962;
01/03/2016 01:23:10;49,9996;
01/03/2016 01:23:20;50,0067;
01/03/2016 01:23:30;50,0082;
01/03/2016 01:23:40;50,0038;
01/03/2016 01:23:50;50,0016;
01/03/2016 01:24:00;49,9995;
01/03/2016 01:24:10;50,0097;
01/03/2016 01:24:20;50,0135;
01/03/2016 01:24:30;50,0006;
01/03/2016 01:24:40;50,0018;
01/03/2016 01:24:50;49,9918;
01/03/2016 01:25:00;49,9854;
01/03/2016 01:25:10;49,9789;
01/03/2016 01:25:20;49,9837;
01/03/2016 01:25:30;49,9883;
01/03/2016 01:25:40;49,9916;
01/03/2016 01:25:50;49,9943;
01/03/2016 01:26:00;50,0007;
01/03/2016 01:26:10;50,0111;
01/03/2016 01:26:20;50,0165;
01/03/2016 01:26:30;50,0182;
01/03/2016 01:26:40;50,0142;
01/03/2016 01:26:50;50,0113;
01/03/2016 01:27:00;50,0148;
01/03/2016 01:27:10;50,002;
01/03/2016 01:27:20;49,9977;
01/03/2016 01:27:30;50,0061;
01/03/2016 01:27:40;50,0047;
01/03/2016 01:27:50;50,0111;
01/03/2016 01:28:00;50,0099;
01/03/2016 01:28:10;50,0163;
01/03/2016 01:28:20;50,0237;
01/03/2016 01:28:30;50,0285;
01/03/2016 01:28:40;50,0309;
01/03/2016 01:28:50;50,0224;
01/03/2016 01:29:00;50,0239;
01/03/2016 01:29:10;50,0221;
01/03/2016 01:29:20;50,0202;
01/03/2016 01:29:30;50,0152;
01/03/2016 01:29:40;50,0111;
01/03/2016 01:29:50;50,0178;
01/03/2016 01:30:00;50,0259;
01/03/2016 01:30:10;50,0217;
01/03/2016 01:30:20;50,0217;
01/03/2016 01:30:30;50,0161;
01/03/2016 01:30:40;50,015;
01/03/2016 01:30:50;50,0083;
01/03/2016 01:31:00;50,0094;
01/03/2016 01:31:10;50,0144;
01/03/2016 01:31:20;50,0111;
01/03/2016 01:31:30;50,0085;
01/03/2016 01:31:40;50,0117;
01/03/2016 01:31:50;50,0082;
01/03/2016 01:32:00;50,0032;
01/03/2016 01:32:10;50,0052;
01/03/2016 01:32:20;50,0016;
01/03/2016 01:32:30;50,0099;
01/03/2016 01:32:40;50,014;
01/03/2016 01:32:50;50,0176;
01/03/2016 01:33:00;50,0101;
01/03/2016 01:33:10;50,0145;
01/03/2016 01:33:20;50,0158;
01/03/2016 01:33:30;50,003;
01/03/2016 01:33:40;49,9946;
01/03/2016 01:33:50;49,9941;
01/03/2016 01:34:00;49,9966;
01/03/2016 01:34:10;50,0058;
01/03/2016 01:34:20;50,0167;
01/03/2016 01:34:30;50,0115;
01/03/2016 01:34:40;50,0105;
01/03/2016 01:34:50;50,0093;
01/03/2016 01:35:00;50,0136;
01/03/2016 01:35:10;50,0207;
01/03/2016 01:35:20;50,0186;
01/03/2016 01:35:30;50,015;
01/03/2016 01:35:40;50,0179;
01/03/2016 01:35:50;50,0095;
01/03/2016 01:36:00;49,9998;
01/03/2016 01:36:10;50,006;
01/03/2016 01:36:20;50,0129;
01/03/2016 01:36:30;50,0198;
01/03/2016 01:36:40;50,0222;
01/03/2016 01:36:50;50,01;
01/03/2016 01:37:00;50,0142;
